,name,naverURL
103,노모어 피자 하남시청역점,"https://map.naver.com/p/search/%EB%85%B8%EB%AA%A8%EC%96%B4%20%ED%94%BC%EC%9E%90%20%ED%95%98%EB%82%A8%EC%8B%9C%EC%B2%AD%EC%97%AD%EC%A0%90/place/1653263652?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true"
104,인간의 냉면,"https://map.naver.com/p/search/%EC%9D%B8%EA%B0%84%EC%9D%98%20%EB%83%89%EB%A9%B4/?c=15.00,0,0,0,dh"
105,하남 터미널,"https://map.naver.com/p/search/%ED%95%98%EB%82%A8%20%ED%84%B0%EB%AF%B8%EB%84%90/?c=15.00,0,0,0,dh"
106,바나나,"https://map.naver.com/p/search/%EB%B0%94%EB%82%98%EB%82%98/?c=15.00,0,0,0,dh"
107,이비온,"https://map.naver.com/p/search/%EC%9D%B4%EB%B9%84%EC%98%A8/?c=15.00,0,0,0,dh"
108,하이타치 하남점,"https://map.naver.com/p/search/%ED%95%98%EC%9D%B4%ED%83%80%EC%B9%98%20%ED%95%98%EB%82%A8%EC%A0%90/?c=15.00,0,0,0,dh"
109,덕풍회관,"https://map.naver.com/p/search/%EB%8D%95%ED%92%8D%ED%9A%8C%EA%B4%80/?c=15.00,0,0,0,dh"
110,99갈비,"https://map.naver.com/p/search/99%EA%B0%88%EB%B9%84/?c=15.00,0,0,0,dh"
111,손님상,"https://map.naver.com/p/search/%EC%86%90%EB%8B%98%EC%83%81/place/1048263699?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true"
112,한신우동,"https://map.naver.com/p/search/%ED%95%9C%EC%8B%A0%EC%9A%B0%EB%8F%99/?c=13.00,0,0,0,dh"
113,아담만두(미사점),"https://map.naver.com/p/search/%EC%95%84%EB%8B%B4%EB%A7%8C%EB%91%90%28%EB%AF%B8%EC%82%AC%EC%A0%90%29/place/1800365065?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true"
114,펄 크라운,"https://map.naver.com/p/search/%ED%8E%84%20%ED%81%AC%EB%9D%BC%EC%9A%B4/?c=15.00,0,0,0,dh"
115,짱이네,"https://map.naver.com/p/search/%EC%A7%B1%EC%9D%B4%EB%84%A4/?c=15.00,0,0,0,dh"
116,방배동 할매쭈꾸미 하남미사점,"https://map.naver.com/p/search/%EB%B0%A9%EB%B0%B0%EB%8F%99%20%ED%95%A0%EB%A7%A4%EC%AD%88%EA%BE%B8%EB%AF%B8%20%ED%95%98%EB%82%A8%EB%AF%B8%EC%82%AC%EC%A0%90/place/1912061489?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true"
117,탐나는 피자 하남점,"https://map.naver.com/p/search/%ED%83%90%EB%82%98%EB%8A%94%20%ED%94%BC%EC%9E%90%20%ED%95%98%EB%82%A8%EC%A0%90/place/1599195633?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true"
118,윈터포레스트1224(Winter Forest 1224),"https://map.naver.com/p/search/%EC%9C%88%ED%84%B0%ED%8F%AC%EB%A0%88%EC%8A%A4%ED%8A%B81224%28Winter%20Forest%201224%29/place/1497839273?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true"
119,해사랑 간장게장 생선구이,"https://map.naver.com/p/search/%ED%95%B4%EC%82%AC%EB%9E%91%20%EA%B0%84%EC%9E%A5%EA%B2%8C%EC%9E%A5%20%EC%83%9D%EC%84%A0%EA%B5%AC%EC%9D%B4/?c=15.00,0,0,0,dh"
120,비비드홀덤펍,"https://map.naver.com/p/search/%EB%B9%84%EB%B9%84%EB%93%9C%ED%99%80%EB%8D%A4%ED%8E%8D/?c=15.00,0,0,0,dh"
121,스마일식당,"https://map.naver.com/p/search/%EC%8A%A4%EB%A7%88%EC%9D%BC%EC%8B%9D%EB%8B%B9/?c=15.00,0,0,0,dh"
122,어웨이크,"https://map.naver.com/p/search/%EC%96%B4%EC%9B%A8%EC%9D%B4%ED%81%AC/?c=15.00,0,0,0,dh"
123,하이롤러 미사,"https://map.naver.com/p/search/%ED%95%98%EC%9D%B4%EB%A1%A4%EB%9F%AC%20%EB%AF%B8%EC%82%AC/place/1722637298?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true"
